ParkName,YearsObserved,TotalVisits,AverageVisits
Great Smoky Mountains NP,46,451842283,9822658.33
Grand Canyon NP,46,191448312,4161919.83
Yosemite NP,46,159830824,3474583.13
Rocky Mountain NP,46,144328183,3137569.2
Yellowstone NP,46,144139032,3133457.22
Olympic NP,46,138158774,3003451.61
Acadia NP,46,138074849,3001627.15
Zion NP,46,124063468,2697031.91
Grand Teton NP,46,115438101,2509523.93
Gateway Arch NP,46,111296938,2419498.65
Cuyahoga Valley NP,46,101712334,2211137.7
Glacier NP,46,96403370,2095725.43
Indiana Dunes NP,46,86102140,1871785.65
Shenandoah NP,46,70111696,1524167.3
Joshua Tree NP,46,68214909,1482932.8
Hot Springs NP,46,65897797,1432560.8
Hawaii Volcanoes NP,46,64937956,1411694.7
Mount Rainier NP,46,60134967,1307281.89
Mammoth Cave NP,46,58945440,1281422.61
Bryce Canyon NP,46,56752986,1233760.57
Haleakala NP,46,54245846,1179257.52
New River Gorge NP & PRES,41,43258631,1055088.56
Badlands NP,46,47052277,1022875.59
Sequoia NP,46,46419266,1009114.48
Death Valley NP,46,43634079,948566.93
Everglades NP,46,42440968,922629.74
Arches NP,46,41141613,894382.89
Saguaro NP,46,33577320,729941.74
Petrified Forest NP,46,31936931,694281.11
Kings Canyon NP,46,31513510,685076.3
Capitol Reef NP,46,31386431,682313.72
Wind Cave NP,46,28128932,611498.52
Mesa Verde NP,46,25997217,565156.89
Virgin Islands NP,46,25377645,551687.93
White Sands NP,46,25292522,549837.43
Carlsbad Caverns NP,46,24781326,538724.48
Theodore Roosevelt NP,46,24679462,536510.04
Crater Lake NP,46,22386291,486658.5
Biscayne NP,46,21327854,463649
Redwood NP,46,20614395,448139.02
Denali NP & PRES,46,19835783,431212.67
Canyonlands NP,46,19310109,419784.98
Lassen Volcanic NP,46,19273729,418994.11
Glacier Bay NP & PRES,46,15367394,334073.78
Big Bend NP,46,15037554,326903.35
Channel Islands NP,46,14363973,312260.28
Great Sand Dunes NP & PRES,46,13753334,298985.52
Black Canyon of the Gunnison NP,46,11308895,245845.54
Kenai Fjords NP,43,9773408,227288.56
Voyageurs NP,46,10202198,221786.91
Pinnacles NP,46,9235133,200763.76
North Cascades NP,46,9012681,195927.85
Guadalupe Mountains NP,46,8384695,182275.98
Congaree NP,40,4125831,103145.78
Great Basin NP,46,3994028,86826.7
Wrangell-St. Elias NP & PRES,43,2121647,49340.63
Dry Tortugas NP,46,2207839,47996.5
Katmai NP & PRES,45,1807193,40159.84
Isle Royale NP,46,934450,20314.13
National Park of American Samoa,21,321697,15318.9
Lake Clark NP & PRES,43,494931,11510.02
Gates of the Arctic NP & PRES,43,299742,6970.74
Kobuk Valley NP,43,277357,6450.16
